"Date","Price","Open","High","Low","Change %"
"May 09","10.234","10.234","10.234","10.234","0.79%"
"Apr 09","10.154","10.154","10.154","10.154","-1.62%"
"Mar 09","10.321","10.321","10.321","10.321","-7.53%"
"Feb 09","11.161","11.161","11.161","11.161","-0.35%"
"Jan 09","11.200","11.200","11.200","11.200","-2.30%"
"Dec 08","11.464","11.464","11.464","11.464","-15.63%"
"Nov 08","13.587","13.587","13.587","13.587","-0.32%"
"Oct 08","13.631","13.631","13.631","13.631","44.27%"
"Sep 08","9.448","9.448","9.448","9.448","-9.82%"
"Aug 08","10.477","10.477","10.477","10.477","-8.94%"
"Jul 08","11.506","11.506","11.506","11.506","7.11%"
"Jun 08","10.742","10.742","10.742","10.742","3.95%"
"May 08","10.334","10.334","10.334","10.334","9.19%"
"Apr 08","9.464","9.464","9.464","9.464","8.86%"
"Mar 08","8.694","8.694","8.694","8.694","1.36%"
"Feb 08","8.577","8.577","8.577","8.577","1.00%"
"Jan 08","8.492","8.492","8.492","8.492","0.50%"
"Dec 07","8.450","8.450","8.450","8.450","-1.72%"
"Nov 07","8.598","8.598","8.598","8.598","-10.28%"
"Oct 07","9.583","9.583","9.583","9.583","-0.18%"
"Sep 07","9.600","9.600","9.600","9.600","-0.16%"
"Aug 07","9.615","9.615","9.615","9.615","0.33%"
"Jul 07","9.583","9.583","9.583","9.583","4.64%"
"Jun 07","9.158","9.158","9.158","9.158","4.23%"
"May 07","8.786","8.786","8.786","8.786","-8.53%"
"Apr 07","9.605","9.605","9.605","9.605","5.36%"
"Mar 07","9.116","9.116","9.116","9.116","4.76%"
"Feb 07","8.702","8.702","8.702","8.702","1.48%"
"Jan 07","8.575","8.575","8.575","8.575","3.46%"
"Dec 06","8.288","8.288","8.288","8.288","3.17%"
"Nov 06","8.033","8.033","8.033","8.033","-9.66%"
"Oct 06","8.892","8.892","8.892","8.892","-13.65%"
"Sep 06","10.298","10.298","10.298","10.298","-8.07%"
"Aug 06","11.202","11.202","11.202","11.202","-3.21%"
"Jul 06","11.574","11.574","11.574","11.574","3.13%"
"Jun 06","11.223","11.223","11.223","11.223","-10.01%"
"May 06","12.472","12.472","12.472","12.472","20.36%"
"Apr 06","10.362","10.362","10.362","10.362","-2.75%"
"Mar 06","10.655","10.655","10.655","10.655","-6.48%"
"Feb 06","11.393","11.393","11.393","11.393","-0.68%"
"Jan 06","11.471","11.471","11.471","11.471","-3.63%"
"Dec 05","11.903","11.903","11.903","11.903","-0.42%"
"Nov 05","11.953","11.953","11.953","11.953","-7.13%"
"Oct 05","12.871","12.871","12.871","12.871","-1.10%"
"Sep 05","13.014","13.014","13.014","13.014","1.05%"
"Aug 05","12.879","12.879","12.879","12.879","-1.41%"
"Jul 05","13.063","13.063","13.063","13.063","2.77%"
"Jun 05","12.711","12.711","12.711","12.711","0.55%"
"May 05","12.642","12.642","12.642","12.642","-1.47%"
"Apr 05","12.830","12.830","12.830","12.830","-1.08%"
"Mar 05","12.970","12.970","12.970","12.970","-7.34%"
"Feb 05","13.998","13.998","13.998","13.998","-0.61%"
"Jan 05","14.084","14.084","14.084","14.084","-2.68%"
"Dec 04","14.472","14.472","14.472","14.472","0.66%"
"Nov 04","14.377","14.377","14.377","14.377","1.45%"
"Oct 04","14.172","14.172","14.172","14.172","-1.21%"
"Sep 04","14.346","14.346","14.346","14.346","2.89%"
"Aug 04","13.943","13.943","13.943","13.943","5.34%"
"Jul 04","13.236","13.236","13.236","13.236","-0.35%"
"Jun 04","13.282","13.282","13.282","13.282","0.83%"
"May 04","13.173","13.173","13.173","13.173","2.53%"
"Apr 04","12.848","12.848","12.848","12.848","-3.14%"
"Mar 04","13.264","13.264","13.264","13.264","-2.15%"
"Feb 04","13.555","13.555","13.555","13.555","10.20%"
"Jan 04","12.300","12.300","12.300","12.300","-0.22%"
"Dec 03","12.327","12.327","12.327","12.327","-0.31%"
"Nov 03","12.365","12.365","12.365","12.365","2.10%"
"Oct 03","12.111","12.111","12.111","12.111","-1.20%"
"Sep 03","12.258","12.258","12.258","12.258","-1.80%"
"Aug 03","12.483","12.483","12.483","12.483","1.00%"
"Jul 03","12.359","12.359","12.359","12.359","-0.64%"
"Jun 03","12.438","12.438","12.438","12.438","-1.11%"
